"numeroArticle","texteArticle"
"v1-3347-0","ASTHME , s. m. ( Med. ) ​ ​ difficulté de respirer , maladie de poitrine, accompagnée d’une espece de sifflement. On lui a aussi donné les noms de dyspnée & d’ orthopnée , mots tirés du Grec, & que l’on doit rendre en François, par ceux de respiration difficile , ou respiration debout ; situation favorable au malade, lorsqu’il est dans un accès d’ asthme . Les causes générales de l’ asthme , sont toutes les maladies qui ont affecté ou affectent quelques parties contenues dans la poitrine, & ont occasionné quelque délabrement dans les organes de la respiration ; telles sont l’érésipele du poûmon, ou l’inflammation de cette partie ou de quelqu’autre, dont la fonction est nécessaire à la respiration, sur-tout lorsque cette inflammation a dégénéré en suppuration, & qu’il se rencontre quelque adhérence à la pleure ou au diaphragme. On peut encore mettre au nombre de ces causes, le vice de conformation de la poi- ​ ​ trine, tant dans les parties intérieures que dans les extérieures. °. Les causes prochaines ou particulieres de l’ asthme , sont la trop grande abondance de sang provenant des causes de la pléthore universelle, comme la suppression des pertes de sang ordinaires, le changement subit d’un air chaud en un froid, l’usage immodéré d’alimens succulens ; & alors cette espece d’ asthme s’appelle sec , & selon Willis convulsif . °. La surabondance d’humeurs séreuses, qui refluant du côté des poumons, abreuvent le tissu de leurs fibres, & le rendent trop lâche & peu propre à recevoir & chasser l’air qui y est apporté, & par le moyen duquel s’exécute la respiration ; c’est particulierement à cette espece d’ asthme que sont sujets les vieillards ; on l’appelle asthme humide ou humoral . Il suffit pour expliquer le retour périodique de cette maladie, de faire attention à ce que je viens de dire sur sa cause ; dès qu’il se rencontrera quelque révolution qui la déterminera, elle occasionnera un acces d’ asthme ; les changemens de tems, de saison, le moindre excès dans l’usage des choses non-naturelles, sont autant de causes déterminantes d’un accès d’ asthme . Cette maladie est ordinairement de longue durée, & aussi dangereuse qu’elle est fâcheuse ; en effet, un malade sujet à l’ asthme , croit à chaque accès dont il est attaqué, que ce sera le dernier de sa vie ; rien n’étant plus nécessaire pour la conservation que la respiration, la crainte qu’il a de ne pouvoir plus respirer est certainement bien légitime. La suite ordinaire de l’ asthme , sur-tout de celui que nous avons nommé humide , est l’hydropisie de poitrine, il est donc question de faire tous ses efforts pour prévenir cette funeste fin dans ceux qui en sont menacés ; pour cet effet, on usera de remedes qui pourront diminuer la trop grande quantité de sérosités, & en même tems donner du ressort aux fibres des poumons, & les mettre en état de résister à cette affluence de liqueurs nuisibles. La saignée est un remede très-indiqué dans l’ asthme sec ou convulsif , qui est ordinairement accompagné d’ardeur & de fievre ; les délayans, la diete, & tout ce qui peut diminuer la quantité & l’effervescence du sang, sort aussi d’un très-grand secours. ( N ) ​ ​"
"v1-3363-0","ASTRINGENT , adj. ( Med. ) ​ ​ nom que l’on donne à certains remedes. Ce mot vient du Latin astringere , resserrer, parce que la propriété de ces remedes est de resserrer ; c’est-à-dire, lorsque les déjections d’un malade sont trop liquides, d’en corriger la trop grande fluidité, & de leur donner la consistance qui leur est nécessaire, & qui prouve la bonne disposition des organes de la digestion. On doit compter de deux sortes d’ astringens ; savoir, ceux qui mêlés avec les liqueurs de l’estomac & des intestins, en absorbent, moyennant leur partie terrestre, une certaine quantité ; d’autres qui picotent & irritent les fibres circulaires des glandes intestinales, & les obligent par cette contraction à ne pas fournir avec tant d’abondance la lymphe qu’elles contiennent L’administration de ces remedes est très-dangereuse, & demande toute la prudence possible. Les accidens qui arrivent journellement de l’usage de ces remedes pris à contre-tems, c’est-à-dire, sans avoir évacué auparavant les humeurs nuisibles, prouvent avec quelle circonspection on doit les employer. L’usage extérieur des astringens a rapport au mot styptique. Voyez Styptique . ( N ) ​ ​"
"v1-3444-0","ATONIE , s. f. ( Med. ) ​ ​ d’ ἀ privatif, & de τείνω , étendre ; foiblesse, relâchement, défaut de ton ou de tension dans les solides du corps humain. Ce mot étoit fort en usage parmi les Medecins de la secte méthodique, qui attribuoient les causes des maladies au relâchement, à la tension, ou à un mêlange de ces deux. L’ atonie est cause de maladie dans la débilité des fibres, dans les tempéramens humides, & dans ce qu’on appelle l’ intempérie froide & pituiteuse : elle est symptomatique dans les pertes abondantes, à la suite des grandes évacuations dans les maladies longues, lors de la convalescence, & enfin après de grands travaux, comme aussi après de grandes douleurs. L’ atonie , comme cause de maladie, & comme maladie, se traite par les astringens, les apéritifs, les amers, les hydragogues, & les alimens de bon suc pris en petite quantité : les frictions, la promenade, l’exercice, y sont sur-tout utiles. Lorsqu’elle est de naissance, & qu’elle fait le tempérament, comme il arrive dans les gens humides & sujets aux bouffissures, il faut la corriger, autant qu’il est possible, par un régime exact, par les boissons altérantes, légerement sudorifiques : les cordiaux employés une fois par semaine, tels que l’élixir de Garus, la confection alkermes, &c. peuvent empêcher ses mauvaises suites. L’ atonie , comme symptome & suite des évacuations immodérées, des longues maladies, de la fatigue, de la convalescence, se traite par le repos, & la diete restaurante. Voyez Convalescence & Foiblesse . ( N ) ​ ​"
"v1-3476-0","ATTÉNUANS , adj. ( Med. ) ​ ​ On donne ce nom à différens remedes qui sont fort utiles en Medecine ; on en fait différentes classes : les incisifs simples qui délayent & détrempent les molécules des fluides : les autres divisent & fondent l’épaississement des humeurs en rompant la cohésion trop forte de leurs parties intégrantes ; il en est qui agissent sur les viscosités des fluides, contenues dans le ventricule & dans les intestins : d’autres sont plus propres à agir sur le sang ; enfin, il en est qui agissent sur les solides en irritant & en augmentant leurs vibrations, tandis que d’autres n’exercent leur énergie que sur les fluides seuls. Ces différens atténuans sont appellé, fondans & apéritifs , lorsque par leur action ils divisent les matieres ténaces qui embarrassent les petits vaisseaux, & qu’ils enlevent les obstructions des visceres glanduleux, tels que le foie, les reins & la ratte. Voyez Apéritifs . On les nomme expectorans , lorsqu’ils agissent sur le tissu des bronches, qu’ils en détachent l’humeur qui les enduit, & qu’après l’avoir divisée, ils la font sortir par les crachats ; tels sont les racines d’aunée, d’iris de Florence, le lierre terrestre, l’hysope, &c. Voyez Expectorans . Les atténuans , outre les classes que nous en avons décrites ci-dessus, sont encore divisés à raison de leur origine, en ceux tirés du regne végétal, & en ceux que le regne animal & minéral nous fournissent ; ceux du regne végétal sont toutes les plantes acres, & qui donnent un sel volatil fixe, tels que toutes les plantes purgatives ; le cabaret, le pié-de-veau : d’autres agissent par un sel volatil, tels que le cresson, le rayfort, le cochlearia, & enfin toutes les especes de plantes cruciferes : d’autres enfin atténuent les humeurs par un sel acre marié avec des parties sulphureuses ; telles sont les résines de jalap, le turbit gommeux ; telles sont toutes les gommes résines, comme le sagapenum, l’opopanax, le bdellium. Les savons peuvent être rapportés au regne minéral ou au végétal ; ils agissent à peu près comme les gommes résines. Voyez Savon . Le regne animal fournit des sels volatils, tels que le sel ammoniac, le salpetre, &c. Le regne minéral fournit les sels acides minéraux, le vitriol, le sel marin & les sels neutres formés de ces ​ premiers par leur acide décomposé & débarrassé de sa base, pour ensuite l’incorporer dans la base alkaline du tartre, du nitre & autres ; tels sont les sels neutres & androgyns, comme le tartre vitriolé, le sel de Glauber, & tous les sels combinés, à l’imitation de ces premiers ; ces sels sont les sels neutres de tous genres, les sels androgyns, amers, purgatifs & fondans ; ils peuvent remplir bien des indications. Le regne minéral fournit encore les remedes atténuans combinés d’un sel acide, & d’un soufre métallique, qui est la terre inflammable, & la mercurielle de Beker ; tels sont le fer, la pierre hématite, l’antimoine, le mercure, le cuivre, l’étain, le plomb, & leurs préparations différentes. Comme la vertu des atténuans est des plus étendues, on leur a donné mille noms différens ; ces noms sont tirés des effets particuliers de ces sels sur les humeurs, & sur les solides ; ainsi on en fait différentes especes, tels que les amers , les astringens , les toniques , les altérans astringens , les altérans laxatifs, diurétiques, apéritifs, diaphorétiques . ( N ) ​ ​"
"v1-3689-0","AVORTEMENT , s’employe en Medecine ​ ​ pour l’accouchement avant terme, d’un fœtus humain imparfait, soit vivant ou mort. Voyez Accouchement & Grossesse . Dans ce sens, avortement est la même chose que ce que nous appellons communément fausse-couche , les Latins abortus , & quelquefois abactus . L’ avortement peut arriver dans tous les tems de la grossesse : mais s’il arrive avant le second mois après la conception, on l’appelle proprement fausse conception , ou faux germe. Voyez Conception . Il y a des exemples d’ avortemens par la bouche, l’anus, le nombril, &c. Voyez Fœtus , Embryon , &c. Les causes ordinaires de l’ avortement , sont des évacuations immodérées, des mouvemens violens, des passions soudaines, des frayeurs, &c. les autres causes sont la grosseur & la pesanteur du fœtus, l’irritation de la matrice, le relâchement des ligamens du placenta, la foiblesse & le défaut de nourriture du fœtus ; trop manger, de longs jeûnes ou de longues veilles, l’usage des corps baleinés, les mauvaises odeurs, les violens purgatifs ; & en général tout ce qui tend à provoquer les regles. Les symptomes qui précedent d’ordinaire l’ avortement , sont une fievre continue ou intermittente, une douleur dans les lombes & à la tête, une pesanteur des yeux, un affaissement & un resserrement du ventre ; un écoulement de sang pur ou aqueux ; une diminution des mammelles, un lait séreux, &c. lorsque le moment de la fausse couche est venu, les douleurs sont à peu-près les mêmes que celles de l’accouchement. L’ avortement est dangereux quand la grossesse est fort avancée, & qu’ainsi le fœtus est d’une grosseur considérable ; quand la cause est très-violente, que la malade a de fortes convulsions, que l’accouchement est précédé ou suivi d’une grande hémorrhagie, que le fœtus est pourri, &c. Dans d’autres cas, il est rarement mortel. Le traitement doit être conforme aux symptomes particuliers & aux circonstances. Si la malade est pléthorique, il faut saigner dès que les premiers symptomes paroissent. En cas d’hémorrhagie, il faut avoir recours aux astringens appropriés ; & s’ils ne réussissent pas, aux fomentations, aux injections, aux fumigations. S’il y a un ténesme, il faut employer la rhubarbe ; & s’il y a un relâchement habituel des vaisseaux de la matrice, on se servira du gayac. Voyez Grossesse . ( N ) ​ ​"
"v1-433-0","ACME , s. ( Medecine ) ​ ​ vient du Grec ἀκμὴ , pointe ; ​ il est particulierement en usage pour signifier le plus haut point, ou le fort d’une maladie ; car quelques uns divisent les maladies en quatre états ou périodes ; °. l’ arche qui est le commencement ou la premiere attaque ; °. l’ anabasis , du Grec ἀνάϐασις , qui est l’augmentation du mal ; °. l’ acme qui en est le plus haut point ; °. le paracme qui en est le déclin. Cette division mérite attention dans les maladies aiguës où elle a sur-tout lieu, comme dans la fievre continue, dans la fievre maligne, dans les inflammations. Les maladies suivent tous ces périodes selon le bon ou le mauvais traitement qu’on y apporte, ou selon la cause, le degré de malignité de la maladie, l’épuisement ou les forces actuelles du malade. ( N ) ​ ​"
"v1-501-7","Action , se dit en Medecine ​ ​ dans le même sens que fonction ; c’est pourquoi l’on dit : l’ action du ventricule sur les alimens est de les diviser, & de les mêler intimement ensemble. Un Medecin doit connoître l’ action de toutes les parties du corps humain, pour distinguer la cause, le siége & les différences des maladies. Cette connoissance le met en état de prononcer sûrement du danger que court un malade, ou de la proximité de sa convalescence. V. Fonction . Action se dit encore medicinalement pour force . On augmente l’ action d’un purgatif en y ajoûtant quelque chose, c’est-à-dire, qu’on lui donne plus de force. Voyez Force . ( N ) ​ ​"
"v1-604-0","ADMIRABLE , adject. ( Medecine. ) ​ ​ épithete que des Chimistes ont donnée, par hyperbole, à quelques-unes de leurs compositions ; tel est le sel admirable de Glauber. On l’a appliquée généralement à toutes les pierres factices & medicinales : en voici une dont M. Lemeri donne la description à cause de ses grandes qualités. Pulvérisez, mêlez ensemble du vitriol blanc, onces ; du sucre fin, du salpetre, de chacun onces ; de l’alun, onces ; du sel ammoniac, gros ; du camphre, onces. Mettez le mêlange dans un pot de terre vernissé ; humectez-le en consistance de miel avec de l’huile d’olive ; puis mettez sur un petit feu, faites dessécher doucement la matiere jusqu’à ce qu’elle ait pris la dureté d’une pierre ; gardez-la couverte, car elle s’humecte aisément. On observera de modérer le feu dans cette opération, à cause de la volatilité du camphre : mais quelque soin que l’on y apporte, il s’en dissipe toûjours une grande quantité. On en ajoûtera à cause de cela quelques grains dans la pierre, lorsqu’on s’en servira. Cette pierre est détersive, vulnéraire, astringente ; elle résiste à la gangrene, arrête le sang, étant appliquée seche ou dissoute : on l’emploie dans les cataractes en collyre, contre les ulceres scorbutiques. On ne s’en sert qu’à l’extérieur. ( N ) ​ ​"
"v1-801-0","AGGLUTINATION , s. m. ( Med. ) ​ ​ action de réunir les parties du corps séparées par une plaie, coupure, &c. De là vient le nom que l’on donne à certains topiques qui produisent cet effet, le nom d’ agglutinans . Mais ce terme peut convenir aux remedes intérieurs agglutinans & incrassans, qui empâtant de leur naturel les particules acres de nos fluides, émoussent leur pointe, & changeant ainsi leur consistance, les rendent plus propres à fournir un suc nourricier loüable & capable de réparer les parties. La nutrition ne remplit tous ces termes qu’au moyen de cette agglutination, & c’est à son défaut que nous attribuons le dessechement de nos solides, la fonte de nos humeurs, & les flux colliquatifs qui détruisent les fluides & corrodent les solides, &c. Voyez Nutrition , Atrophie , Consomption , Agglutinans . ( N ) ​ ​"
"v1-939-0","AIGREUR , s. f. se dit, en Medecine ​ ​ , des rapports acides qui viennent des premieres voies. Ces rapports sont produits par les alimens qui prennent dans l’estomac, ou reçoivent de ce viscere une qualité acide à laquelle ils sont quelquefois enclins de leur nature. La foiblesse des organes de la digestion est la cause principale des aigreurs. Aussi les enfans, les femmes, les vaporeux & les convalescens y sont-ils plus sujets que d’autres. On y remédie par les évacuants, les amers absorbans, les remedes toniques, l’exercice, la diette restaurante, &c. ( N ) ​ ​"
