"numeroArticle","texteArticle"
"v2-3340-0","CANONICAT , s. m. terme de Jurispr. ecclés ​ ​ . synonyme à chanoinie : souvent les canonistes le confondent avec prébende ; il en differe cependant en ce que le canonicat n’est que le titre ou la qualité spirituelle, laquelle est indépendante du revenu temporel ; au lieu que la prébende est le revenu temporel même. Autrefois le pape créoit des canonicats sans prébende, avec l’expectative de la premiere qui viendroit à vaquer : mais ces expectatives ne se donnent plus depuis le concile de Trente, qui les a abolies. Seulement le pape crée quelquefois un chanoine sans prébende, quand il veut conférer une dignité dans une église, pour l’obtention de laquelle il faut être chanoine. Ces canonicats s’appellent canonicats ad effectum ; ce n’est qu’un titre stérile & infructueux, qu’on appelle aussi par cette raison jus ventosum. V. Chanoinie & Prébende . ( H ) ​ ​"
"v2-381-1","Barbares ( Lois ) Jurisprudence ​ ​ ; ce sont celles qui furent faites lots de la décadence de l’empire Romain, par les differens peuples qui le démembrerent, tels que les Goths, les Visigoths, les Ripuariens, les Francs-Allemands, Anglo-Saxons, &c. Voyez au mot Code . On voit par ces lois la forme qui s’observoit dans les jugemens. Ils se rendoient dans de grandes assemblées, où toutes les personnes de distinction se trouvoient. Pour les preuves, on se servoit plus de témoins que de titres, par la raison qu’on ne faisoit presqu’aucun usage de l’écriture, sur-tout dans les commencemens. Faute de preuves on employoit le combat, ou l’on faisoit des épreuves par les élemens. Voyez Combat & Epreuve . La principale matiere de ces lois étoient les crimes, & sur-tout ceux qui étoient les plus fréquens parmi ces peuples brutaux, tels que le vol, le meurtre, les injures, en un mot tout ce qui se commet par violence : ce qui regarde les successions & les contracts y étoit traité très-succinctement. La qualité des peines qu’elles prononçoient est remarquable. Pour la plûpart des crimes elles n’ordonnoient que des amendes pécuniaires, ou pour ceux qui n’avoient pas de quoi payer, des coups de foüet. On ne punissoit point alors de mort les criminels, à moins qu’il ne fût question de crimes d’état. Aussi ces peines étoient-elles nommées compositions , comme n’étant qu’une taxe de dommages & intérêts, faite avec une exactitude surprenante : on y distinguoit la partie blessée ou mutilée, la profondeur, la largeur de la plaie, ou le nombre des plaies. Ces lois sont écrites d’un style si simple & si court, qu’il seroit fort clair si tous les termes étoient latins : mais elles sont remplies de mots barbares , soit faute de mots latins qui fussent propres, soit pour leur servir de glose. ( H ) ​ ​"
"v3-1046-0","CIVIL , ( Jurispr. ) ​ ​ ce terme a différentes significations : il est ordinairement joint à quelque autre. Par exemple on dit, société civile. Voyez au mot Société . On a d’abord appellé droit civil, le droit particulier de chaque nation ou ville, quasi jus proprium ipsius civitatis , pour le distinguer du droit naturel & du droit des gens. C’est pourquoi Justinien nous dit en ses inst. tit. ij. §.. que les lois de Solon & de Dracon sont le droit civil des Athéniens ; & que les lois particulieres observées par le peuple Romain, forment le droit civil Romain : mais que quand on parle du droit civil simplement, on entend le droit Romain par excellence. On appelle corps civil, une compilation des lois Romaines, que Tribonien composa par ordre de Justinien, qui comprend le digeste, le code, & les institutes. ​ ​ On dit aussi dans le même sens, les lois civiles. Le terme civil est quelquefois opposé à canon ou canonique : ainsi l’on dit le droit civil ou le droit civil Romain, par opposition au droit canon ou canonique Romain. Le droit civil se dit aussi quelquefois par opposition au droit coûtumier, auquel cas il signifie également le droit Romain ou droit écrit. Civil est encore opposé à criminel ; c’est en ce sens que l’on dit, un juge civil, un lieutenant civil, un greffier civil, le greffe civil, le parc civil, la chambre civile, l’ audience civile, une requête civile, prendre la voie civile. Joüir des effets civils, c’est avoir les droits de cité ; & encourir la mort civile, c’est perdre ces mêmes droits. En matiere criminelle, on se sert quelquefois du terme civil : on dit, par exemple, une partie civile, des conclusions civiles, des intérêts civils, renvoyer les parties à fins civiles. Voyez l’article Droit civil , & les autres termes que l’on vient de rapporter, chacun à sa lettre. ( A ) ​ ​"
"v3-1325-30","Code des lois antiques , est un recueil de lois anciennement observées dans les Gaules, écrites en Latin, intitulé codex legum antiquarum . Ce recueil qui forme un volume in-fol. a été ainsi appellé, soit parce que toutes les lois comprises dans ce volume sont fort anciennes, ou plûtôt parce que les premieres lois qui sont en tête de ce volume, qui sont des lois gothiques, ne sont désignées que sous la dénomination de leges antiqua , sans que l’on y ait mis le nom des rois Goths dont elles sont émanées : on y trouve ensuite les lois des Visigoths, qui occupoient l’Espagne & une grande partie de l’Aquitaine ; un édit de Théodoric roi d’Italie ; la loi des Bourguignons ou loi Gombette, ainsi appellée parce qu’elle fut réformée par Gondebaud en ; la loi salique ; celles des Ripuariens, qui sont proprement les lois des Francs ; la loi des Allemands, c’est-à-dire des ​ ​ peuples d’Alsace & du haut Palatinat ; les lois des Bavarois, des Saxons, des Anglois & des Frizons ; la loi des Lombards, beaucoup plus considérable que les précédentes ; les capitulaires de Charlemagne, & les constitutions des rois de Naples & de Sicile. Lindembroge a fait des notes sur plusieurs de ces lois. Voyez l’hist. du droit François par M. l’abbé Fleury ; & ci-dev. Code Alaric , Code d’Evaric , & ci-ap. Lois antiques , Lois des Allemands , &c."
"v3-1325-5","Code canonique ou code des canons, ou corps de droit canonique , codex seu corpus canonum , est le nom que l’on donne à différentes collections qui ont été faites des canons des apôtres & de ceux des conciles. Il y a eu plusieurs de ces collections faites en différens tems. La premiere fut faite en Orient ; selon Usserius, ce fut avant l’an , d’autres disent en ; les Grecs réunirent les canons des conciles, & en firent un code ou corps de lois ecclésiastiques, que l’on appella le code des Grecs ou code canonique de l’église Greque ou de l’église d’Orient. Les Grecs y ajoûterent ensuite les canons des apôtres au nombre de cinquante, ceux du concile de Sardique tenu en , ceux du concile d’Ephese, qui est le troisieme concile général tenu en , & ceux du quatrieme concile général tenu à Chalcédoine en . Ce code fut approuvé par six cents trente évêques dans ce concile, & autorisé par Justinien en sa novelle . Ce code des Grecs étoit en si grande vénération, que dans toutes les assemblées, soit universelles ou nationales, on mettoit sur deux pupitres l’évangile d’un côté, & le code canonique de l’autre. Pour ce qui est de l’église Romaine ou d’Occident, elle n’adopta pas d’abord les canons de tous les conciles d’Orient insérés dans le code des Grecs : elle avoit son code particulier, appellé code de l’église Romaine, qui étoit composé des canons des conciles d’Occident ; mais depuis les fréquentes relations que l’affaire des Pélagiens occasionna entre l’église de Rome & celle d’Afrique, l’église de Rome ayant connu les canons des conciles d’Afrique, & en ayant admiré la sagesse, elle les adopta. Le pape Zozyme Grec d’origine fit traduire les canons d’Ancyre, de Néocésarée, & de Gangres. On se servit quelque tems dans l’église d’Occident de cette traduction confuse de l’ancien code canonique des Grecs. On y inséra dans la suite les decrets contre les Pélagiens, ceux d’Innocent I. & de quelques autres papes ; on y joignit encore depuis les canons de plusieurs conciles & différentes lettres des papes. Nous avons plusieurs de ces anciens codes des canons à l’usage des églises d’Occident, les uns imprimés, d’autres manuscrits, lesquels different peu entr’eux, & l’on ne sait pas précisément quel étoit celui de l’église Romaine. Quoi qu’il en soit, comme on trouva qu’il y avoit de la confusion dans le code des canons dont on se servoit à Rome, on engagea Denis, surnommé le ​ Petit ou l’Abbé, sur la fin du cinquieme siecle, à en faire une compilation plus méthodique, dans laquelle il inséra les cinquante canons des apôtres reçus par l’église, & les canons des conciles, tant Grecs que Latins, & quelques decrétales des papes depuis Siricius jusqu’à Hormisdas. Cette compilation fut si bien reçûe, qu’on l’appella le code des canons de l’église Romaine ou corps des canons ; il ne fut pas néanmoins d’abord adopté dans toutes les églises d’Occident. En France on se servoit de l’ancienne collection ou de quelque autre nouvelle que l’on appelloit le code des canons de l’église Gallicane, ce qui demeura dans cet état jusqu’à ce que le pape Adrien ayant envoyé à Charlemagne le code compilé par Denis le Petit, il fût reçû dans tout le royaume. Cette collection a été suivie de plusieurs autres, & notamment de celle du moine Gratian en ; mais son ouvrage est intitulé, concordance des canons : on l’appelle cependant quelquefois le code canonique de Gratian. Le code des canons de l’église d’Orient ayant été reçû dans celle d’Occident, on l’a appellé code de l’Église universelle. Dans tous ces codes du droit canonique, on a suivi à peu-près l’ordre & la méthode du droit civil. Voyez le traité de l’abus par Fevret, tome I. p. ; la préface des lois ecclésiastiques de M. de Hericourt ; & ci-devant Canon , & ci-après Droit canonique ."
"v3-14-0","CHABLIS ou CHABLES , arbres chables, caables , ou arbres caablés, terme usité dans les forêts, dans les jurisdictions des eaux & forêts, & autres tribunaux en matiere de bois & de forêts ​ ​ , pour exprimer des arbres de haute futaie abattus, renversés, ou déracinés par les vents & orages, ou autres accidens ; soit que ces arbres aient été rompus par le pié ou ailleurs, au corps ou aux branches. Dans les anciens titres latins ils sont appellés chablitia . En françois le terme de chablis est le plus usité. Les anciennes ordonnances les nomment caables ou chables : il en est parlé dans celle de Charles V. du mois de Juillet , article ; celle de Charles VI. du mois de Septembre , art. ; & celle de François premier du mois de Mars , article qui défendent de vendre des arbres sur lesquels des arbres caables ou autres seroient encroüés. L’ordonnance des eaux & forêts, tit. x. art. . les appelle arbres chablis ou encroüés . Ce terme encroüé signifie que l’arbre est tombé sur un autre, & s’est engagé dans ses branches ; ce qui arrive souvent aux chablis qui sont abattus sans précaution. Voyez Encroués . Voyez Bois . Cette même ordonnance contient plusieurs dispositions au sujet des chablis qui se trouvent dans les bois & forêts du Roi. Ces dispositions sont en substance, que les maîtres particuliers des eaux & forêts, en faisant leurs ​ ​ visites, doivent faire le recolement des chablis & des arbres délits, c’est-à-dire, de ceux qui sont coupés ou rompus par des gens qui n’ont aucun droit de le faire. Ces arbres de délit sont par-tout distingués des chablis . L’ordonnance veut aussi que les gardes-marteau & les gruyers ayent un marteau pour marquer les chablis . Elle enjoint aux gardes d’en tenir un registre paraphé, & aux maîtres particuliers d’en faire la vente, & d’en tenir un état qui doit être délivré au receveur de la maîtrise aussi-tôt après la vente. Les marchands, ou leurs facteurs, doivent laisser sur la place les chablis , & en donner avis au sergent-à-garde, & celui-ci dresser procès-verbal de leur qualité, nature, & grosseur. Le garde-marteau & le sergent-à-garde doivent veiller à la conservation des chablis , empêcher qu’ils ne soient pris, enlevés ou ébranchés par les usagers, ou en tout cas en faire leur rapport ; & dès que les officiers sont avertis du délit, ils doivent se transporter sur les lieux, accompagnés du garde-marteau & du sergent, pour vérifier son procès-verbal, reconnoître & marquer les chablis . Ces arbres ne peuvent être réservés ni façonnés, mais doivent être vendus en l’état qu’ils se trouvent, à peine de nullité & de confiscation. Les doüairieres, donataires, usufruitiers, & engagistes, ne peuvent disposer des chablis ; ils sont réservés au profit du Roi. Dans les bois sujets aux droits de grurie, grairie, tiers, & danger, il est dû au Roi pour la vente des chablis , la même part qui lui appartient dans les ventes ordinaires. Voyez l’ordonnance des eaux & forêts, tit. jv. art. . tit. vij. art. . tit. jx. art. . tit. x. art. . tit. xv. art. . tit. xvij. art. . . . & . & tit. xxj. art. . & . tit. xxij. art. . & tit. xxiij. art. . Dans les forêts coûtumieres & non en défense, les chablis sont laissés aux coûtumiers & usagers. Un arrêt du parlement de Rouen ordonna que des caables qui étoient en abondance, & formoient une diminution de la forêt coûtumiere, la tierce partie étoit dûe aux coûtumiers aux charges de la coûtume. Voyez la conférence des ordonnances de Guênois, tit. des eaux & forêts. Boucheul sur Poitou, art. . n. . ( A ) ​ ​"
"v3-1464-3","Collecteurs de l’Assise ou Aide sur les marchandises & denrées qui se vendent à Paris ; il en est parlé dans des lettres de Philippe VI. du Février , portant qu’il sera levé pendant un an une imposition, qui est qualifiée d’ aide ou assise, sur toutes les marchandises & denrées qui seront vendues dans la ville & faubourgs de Paris ; que s’il avenoit aucuns débats ou discussion entre les collecteurs députés à la levée de ladite imposition & les bonnes gens de ladite ville de Paris, les prevôt & échevins en pourront ordonner, &c. ( A ) ​ ​"
"v3-1464-5","Collecteurs des Décimes . Il en est parlé ​ ​ dans des lettres du roi Jean du Janvier , portant commission au prieur de S. Martin des Champs de Paris, envoyé par le roi dans le Languedoc pour y régler toutes les affaires qui regarderoient la finance ; le roi lui donne pouvoir de poursuivre tous receveurs, & les collecteurs & sous-collecteurs des décimes, pour les obliger de rendre compte : ces collecteurs des décimes faisoient alors la fonction que font aujourd’hui les receveurs particuliers des décimes dans les diocèses. Voyez ci-après Décimes . ( A ) ​ ​"
"v3-1464-9","Collecteurs d’Impositions . Ce nom étoit commun autrefois à tous les préposés établis pour la levée de diverses impositions ; c’est en ce sens qu’il se trouve employé dans des lettres de Philippe VI. du Juin , adressées à tous nos justiciers, sénéchaux, baillis, receveurs, fermiers, collecteurs ​ les impositions, & autres qui ces présentes lettres verront ; il leur est défendu de contraindre aucun changeur à payer imposition du billon d’or ou d’argent, qu’ils auront vendu ou acheté dorénavant pour porter aux monnoies. Ordonnance de la troisieme race, tome II. ( A ) ​ ​"
"v3-1492-0","COLLUSION , s. f. ( Jurisprud. ) ​ ​ est une intelligence secrete qui regne entre deux parties au préjudice d’un tiers ; cette intelligence est une véritable fraude qui n’est jamais permise, & que l’on ne manque jamais de réprimer lorsqu’elle est prouvée. Ainsi dans un acte soit authentique ou privé, il y a collusion lorsque les parties font quelque vente ou autre convention simulée. Dans les actes judiciaires il y a collusion, lorsque deux parties qui feignent d’être opposées, passent des jugemens de concert ; ce qui est prohibé sur-tout en matiere criminelle à cause de l’intérêt public, qui demande que les délits ne demeurent point impunis. Il y a au code un titre, de collusione detegendâ , qui est le tit. du liv. VII. ( A ) ​ ​"
"v3-1624-3","Commise censuelle ou en censive , est la confiscation qui se fait au profit du seigneur direct d’un héritage roturier tenu de lui en censive, pour cause de desaveu ou felonnie du censitaire : cette sorte de commise n’a pas lieu dans le droit commun, suivant lequel il n’y a que les fiefs qui sont sujets à tomber en commise, au profit du seigneur ; elle est seulement reçûe dans quelques coûtumes, comme celle de Normandie ; voyez Basnage, sur l’art. cxxv. de cette coûtume : & dans celles d’Anjou & Maine, voy. Poquet de Livoniere, des fiefs, liv. II. ch. ij. sect. . Guyot, des fiefs, tr. de la commise, pag. . elle se regle en tout comme la commise féodale ; voyez M. de Boutaric, en son tr. des dr. seign. part. III. ch. v. de la commise des censives."
"v3-1625-19","Commissaires ad partes , sont ceux que l’on choisit dans le lieu même où se doit remplir la commission, à la différence de ceux qui se transportent à cet effet sur les lieux. On nomme autant que l’on peut des commissaires ad partes pour éviter aux par- ​ ties les frais du transport. Cela se pratique en plusieurs cas, comme lorsqu’il s’agit de faire une enquête ou une information, un interrogatoire sur faits & articles, un procès-verbal. L’ordonnance de Philippe V. du mois de Février , art. . dit qu’au cas que les parties seront d’accord en parlement, de prendre des commissaires en leur pays, qu’il leur en sera octroyé, afin que chacun puisse poursuivre sa cause à moins de frais, &c. Voyez la pratique d’Imbert, liv. I. ch. xxxjx. ( A ) ​ ​"
"v3-1626-2","Commission , ( Jurispr. ) ​ ​ est un mandement par lequel le Roi ou quelqu’un de ses officiers de justice commet un juge ou autre officier de justice, pour faire quelque fonction qui a rapport à l’administration de la justice. Quelquefois le terme de commission se prend pour la fonction même qui est déléguée à remplir. Toute commission en général doit être par écrit ; autrement celui qui l’a donnée pourroit la desavoüer. Le commissaire, c’est-à-dire celui qui est commis, pour le fait dont il s’agit, doit avant d’y procéder faire apparoir de sa commission, & en faire mention dans l’acte. ​ ​ Lorsqu’une commission est adressée au lieutenant-général d’un siége, ou au lieutenant particulier & premier des conseillers sur ce requis, l’exécution de la commission appartient d’abord au premier officier, & à son défaut au second ; & ainsi successivement aux autres, suivant l’ordre du tableau. Si la commission est adressée au premier huissier ou sergent royal sur ce requis, tout huissier ou sergent de cette qualité peut la mettre à exécution. Mais lorsqu’elle est adressée à un juge nommément, il ne peut déléguer ni en commettre un autre à sa place : un autre officier du siége ne peut se charger pour lui de l’exécution, si ce n’est en cas d’absence ou autre légitime empêchement. Il y a plusieurs sortes de commissions, qui sont la plûpart distinguées par quelque épithete particuliere : nous allons expliquer les principales dans les subdivisions suivantes."
"v3-1672-0","COMPARTITEUR , s. m. ( Jurispr. ) ​ ​ quasi partitor , est celui des juges qui a ouvert le premier un avis contraire à celui du rapporteur, & qui a commencé le partage d’opinions ; ce qui n’arrive que par partage d’opinions dans les procès par écrit ou instances appointées en matiere civile ; car en matiere criminelle, il n’y a jamais de partage, c’est-à-dire que quand les avis sont partagés, le jugement passe à l’avis le plus doux ; & dans les affaires civiles d’audience, lorsque les avis sont partagés, on ordonne un délibéré ou un appointement. Au parlement, lorsqu’une affaire se trouve partagée, elle est portée dans une autre chambre pour y être jugée ; le rapporteur & le compartiteur vont dans cette chambre exposer chacun les motifs & les raisons de leur avis. voyez Partage . ( A ) ​ ​"
"v3-1679-0","COMPATIBLE , adj. ( Jurispr. ) ​ ​ se dit des bénéfices & des charges qui peuvent être possédés ensemble par une même personne sans dispense. Tous les bénéfices & offices, entre lesquels il n’y a point d’incompatibilité prononcée par la loi, sont compatibles : ainsi un bénéfice simple est compatible avec un autre de même nature, pourvû qu’il ne soit pas sub eodem tecto . L’office de secrétaire du roi est compatible avec celui de conseiller de cour souveraine, & avec plusieurs autres emplois, &c. Voyez ci-devant Compatibilité , & ci-après Incompatible . ( A ) ​ ​"
